dataset,exp_dir_name,number,value,state,batch_size,lr,weight_decay,num_flows,num_hidden_channels
ZincSmilesHRR2048F645G1NG4,nvp_ZincSmilesHRR2048F645G1NG4_f16_hid1024_lr0.000862736_wd0.0001_bs192_an,0,-7421.955078125,COMPLETE,192,0.000862735828664,0.0001,16,1024
ZincSmilesHRR2048F645G1NG4,nvp_ZincSmilesHRR2048F645G1NG4_f8_hid1024_lr9.4456e-5_wd0.0003_bs448_an,1,-11265.8193359375,COMPLETE,448,9.445600138094708e-05,0.0003,8,1024
ZincSmilesHRR2048F645G1NG4,nvp_ZincSmilesHRR2048F645G1NG4_f14_hid2048_lr0.000525421_wd0.0005_bs256_an,2,-11568.16015625,COMPLETE,256,0.0005254210669345,0.0005,14,2048
ZincSmilesHRR2048F645G1NG4,nvp_ZincSmilesHRR2048F645G1NG4_f10_hid1024_lr6.69953e-5_wd0.0001_bs160_an,3,-12811.546875,COMPLETE,160,6.699530280754895e-05,0.0001,10,1024
ZincSmilesHRR2048F645G1NG4,nvp_ZincSmilesHRR2048F645G1NG4_f8_hid1024_lr8.69904e-5_wd0_bs288_an,4,-12843.25,COMPLETE,288,8.699037355645859e-05,0.0,8,1024
ZincSmilesHRR2048F645G1NG4,nvp_ZincSmilesHRR2048F645G1NG4_f6_hid2048_lr0.000112721_wd0.0005_bs224_an,5,-15174.2119140625,COMPLETE,224,0.0001127205849868,0.0005,6,2048
ZincSmilesHRR2048F645G1NG4,nvp_ZincSmilesHRR2048F645G1NG4_f4_hid1024_lr0.00057532_wd0.0003_bs32_an,6,-9555.4423828125,COMPLETE,32,0.0005753204123625,0.0003,4,1024
ZincSmilesHRR2048F645G1NG4,nvp_ZincSmilesHRR2048F645G1NG4_f10_hid2048_lr0.000132447_wd3e-6_bs160_an,7,-16518.505859375,COMPLETE,160,0.0001324473460368,3e-06,10,2048
ZincSmilesHRR2048F645G1NG4,nvp_ZincSmilesHRR2048F645G1NG4_f13_hid1536_lr0.000179976_wd0.0003_bs288_an,8,-6480.8056640625,COMPLETE,288,0.0001799756263208,0.0003,13,1536
ZincSmilesHRR2048F645G1NG4,nvp_ZincSmilesHRR2048F645G1NG4_f11_hid2048_lr6.29685e-5_wd3e-6_bs128_an,9,-17039.23828125,COMPLETE,128,6.296847508763171e-05,3e-06,11,2048
ZincSmilesHRR2048F645G1NG4,nvp_ZincSmilesHRR2048F645G1NG4_f6_hid2048_lr5e-5_wd3e-6_bs128_an,10,-13448.1435546875,COMPLETE,128,5.000000000000004e-05,3e-06,6,2048
ZincSmilesHRR2048F645G1NG4,nvp_ZincSmilesHRR2048F645G1NG4_f13_hid2048_lr0.000121995_wd3e-6_bs128_an,11,-15664.064453125,COMPLETE,128,0.0001219951836133,3e-06,13,2048
ZincSmilesHRR2048F645G1NG4,nvp_ZincSmilesHRR2048F645G1NG4_f10_hid2048_lr5e-5_wd0.0005_bs64_an,12,-16487.185546875,COMPLETE,64,5.000000000000004e-05,0.0005,10,2048
ZincSmilesHRR2048F645G1NG4,nvp_ZincSmilesHRR2048F645G1NG4_f11_hid2048_lr5e-5_wd3e-6_bs320_an,13,-7237.7216796875,COMPLETE,320,5.000000000000004e-05,3e-06,11,2048
ZincSmilesHRR2048F645G1NG4,nvp_ZincSmilesHRR2048F645G1NG4_f10_hid2048_lr0.000119405_wd0.0005_bs128_an,14,-17188.73046875,COMPLETE,128,0.0001194053840936,0.0005,10,2048
ZincSmilesHRR2048F645G1NG4,nvp_ZincSmilesHRR2048F645G1NG4_f10_hid2048_lr0.000321875_wd3e-6_bs128_an,15,-8493.4296875,COMPLETE,128,0.000321875334019,3e-06,10,2048
ZincSmilesHRR2048F645G1NG4,nvp_ZincSmilesHRR2048F645G1NG4_f10_hid2048_lr8.44298e-5_wd0.0005_bs96_an,16,-8123.89404296875,COMPLETE,96,8.442975256150007e-05,0.0005,10,2048
ZincSmilesHRR2048F645G1NG4,nvp_ZincSmilesHRR2048F645G1NG4_f12_hid2048_lr8.35084e-5_wd0.0005_bs128_an,17,-15009.7099609375,COMPLETE,128,8.350842973870965e-05,0.0005,12,2048
ZincSmilesHRR2048F645G1NG4,nvp_ZincSmilesHRR2048F645G1NG4_f10_hid2048_lr0.000100357_wd3e-6_bs128_an,18,-15073.41796875,COMPLETE,128,0.00010035672299658911,3e-06,10,2048
ZincSmilesHRR2048F645G1NG4,nvp_ZincSmilesHRR2048F645G1NG4_f14_hid2048_lr6.25028e-5_wd3e-6_bs128_an,19,-17207.375,COMPLETE,128,6.25027679196747e-05,3e-06,14,2048
ZincSmilesHRR2048F645G1NG4,nvp_ZincSmilesHRR2048F645G1NG4_f9_hid2048_lr0.000120882_wd0.0005_bs160_an,20,-8795.056640625,COMPLETE,160,0.0001208823159725064,0.0005,9,2048
ZincSmilesHRR2048F645G1NG4,nvp_ZincSmilesHRR2048F645G1NG4_f16_hid2048_lr6.29936e-5_wd3e-6_bs128_an,21,-9957.2294921875,COMPLETE,128,6.299362596556595e-05,3e-06,16,2048
